topic,term,weight
000,hackaton,0.010420136
000,event,0.009899031
000,ciud,0.008929227
000,aplic,0.009629481
000,ciudadan,0.010315964
000,particip,0.010135913
000,proyect,0.009285586
000,organiz,0.0074642813
000,ciudad,0.004727852
000,solucion,0.0064018043
001,pued,0.019511739
001,herramient,0.009091733
001,visualiz,0.006113529
001,googl,0.0053598704
001,hac,0.007907955
001,cre,0.007586209
001,indic,0.0038642266
001,quier,0.0038529693
001,usuari,0.0044384683
001,permit,0.007448562
002,proyect,0.018644085
002,aprend,0.0064664283
002,leccion,0.0056898324
002,trabaj,0.009077969
002,equip,0.0060887164
002,gestion,0.0068120393
002,comun,0.00808147
002,conoc,0.011790924
002,experient,0.005305695
002,desarroll,0.014657521
003,abiert,0.053061165
003,gobiern,0.011528442
003,open,0.007509464
003,codig,0.0048922654
003,inici,0.0068469616
003,conoc,0.011437316
003,apertur,0.003489483
003,organiz,0.0068328464
003,impact,0.004175018
003,transparent,0.004565931
004,inform,0.028853873
004,public,0.032446112
004,ciudadan,0.016288277
004,acces,0.014436996
004,transparent,0.0086363
004,gobiern,0.009346012
004,administr,0.0057644793
004,derech,0.0051803277
004,portal,0.0056907507
004,permit,0.008714476
005,cur,0.024064867
005,bid,0.013823924
005,conoc,0.018165756
005,mooc,0.009089416
005,desarroll,0.018532006
005,amer,0.009761786
005,latin,0.009101698
005,region,0.008158902
005,carib,0.0069733053
005,moocs,0.005280781
006,innov,0.03228807
006,solucion,0.012188664
006,tecnolog,0.00986161
006,empres,0.0063707833
006,investig,0.0075180484
006,nuev,0.008271541
006,emprendedor,0.0053676204
006,problem,0.006516091
006,sector,0.006402735
006,emprend,0.0037091104
